Frame,Sub Frame,EMG01_FDS_right,EMG02_FDS_left,EMG03_biceps_brachii_right,EMG04_biceps_brachii_left,EMG05_trapezius_trans_right,EMG06_trapezius_trans_left,EMG07,EMG08,EMG09,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16,
1,0,-83.1319,42.2512,-5.37464,-0.773033,-6.51454,4.48578,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
1,1,-47.223,24.5263,5.63708,-0.994921,-4.3479,-3.10836,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
1,2,-8.83903,7.6515,14.0212,-1.22397,-5.33693,-6.62018,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
1,3,23.9652,4.94481,20.4296,-1.20303,-2.88155,-3.78866,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
1,4,52.9906,11.2645,26.1595,0.0461878,-1.47957,-5.23757,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
1,5,71.6513,11.5307,32.8071,1.17997,-1.81789,-7.38079,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
1,6,81.4976,2.25455,42.3467,1.15938,1.54622,-6.38876,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
1,7,91.8989,-15.1238,49.5471,-0.342895,3.45589,-7.12042,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
1,8,106.348,-46.1878,51.8677,-2.86102,7.80896,-10.1681,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
1,9,114.633,-77.5701,40.039,0.0607458,5.97785,-6.19228,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
2,0,112.945,-88.8026,17.023,0.622309,4.26804,-1.19592,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
2,1,114.716,-79.6411,-4.74504,0.691898,6.76049,-0.509423,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
2,2,117.249,-70.1455,-21.7568,0.451216,6.08298,-8.33066,-3299.9,2773.42,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
2,3,98.7519,-55.4231,-30.1208,-1.25429,-2.42624,-4.59288,-3299.9,-3281.31,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
2,4,91.0955,-47.0011,-36.7244,0.468392,6.7614,-6.50697,-3299.9,-3266.76,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
2,5,66.6576,-40.0791,-33.5778,-2.02776,3.57379,-7.48354,-3299.9,-3251.75,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
2,6,43.2901,-28.7509,-29.1632,0.890616,-0.404066,-8.88433,-3299.9,-3238.49,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
2,7,15.0092,-24.8633,-24.8326,4.07278,-1.40884,-4.62524,-3299.9,-3223.29,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
2,8,-13.4381,-18.8594,-20.9983,1.40417,-2.613,-7.50578,-3299.9,-3210.3,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
2,9,-37.8585,-11.349,-15.2012,-2.66719,2.09364,-5.53693,-3299.9,-3196.68,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
3,0,-58.5715,-7.92721,-10.851,-1.55867,5.02736,-2.16292,-3299.9,-3182.85,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
3,1,-61.461,-4.48325,-1.70008,-6.43165,1.3319,-2.95634,-3299.9,-3160.65,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
3,2,-49.8588,-2.4086,-1.01549,-5.93336,-0.109095,-0.444773,-3299.9,-3142.22,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
3,3,-35.149,0.57229,-3.23573,-6.23905,-0.363129,-0.357318,-3299.9,-3128.45,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
3,4,-24.494,3.40793,-4.47374,-7.69578,-1.69589,-2.5177,-3299.9,-3115.26,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
3,5,-14.815,0.734872,-2.62703,-7.39427,-4.44612,-1.64298,-3299.9,-3102.3,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
3,6,-4.408,0.0231354,0.162745,-8.91653,-5.80238,-3.75708,-3299.9,-3088.69,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
3,7,1.41519,2.87434,-2.27872,-7.5117,-3.69439,-6.29841,-3299.9,-3075.57,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
3,8,3.59676,-5.66299,0.228796,-3.10944,-5.09184,-4.08073,-3299.9,-3063.3,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
3,9,5.37511,-15.6473,0.560843,-0.918901,-5.77483,-11.1661,-3299.9,-3051.12,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
4,0,12.6529,-20.2483,-5.88486,-2.67719,-2.18788,-7.94771,-3299.9,-3038.14,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
4,1,19.4899,-13.2351,-10.8514,-1.94049,-0.686149,-2.44011,-3299.9,-3025.51,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
4,2,28.0247,-7.73709,-21.6822,-4.21127,-2.91287,-1.37019,-3299.9,-3011.86,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
4,3,33.7885,-7.67547,-22.8248,-6.13577,-0.671582,-2.01787,-3299.9,-2768.03,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
4,4,37.7124,-10.8337,-16.6997,-5.94436,0.189758,-2.11357,-3299.9,3218.77,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
4,5,38.4264,-7.57214,-12.6516,-0.560449,-4.80227,-3.62542,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
4,6,37.487,-7.26228,-2.46305,-1.98953,-1.9175,-6.40837,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
4,7,32.1297,-4.63451,7.23172,-3.56601,-3.11426,-4.38418,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
4,8,30.8012,-2.46166,9.65629,-6.60586,-5.56784,-7.97695,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
4,9,27.0706,0.664067,8.23269,-5.71499,-4.20891,-4.22803,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
5,0,19.7442,0.154103,6.8905,-7.21786,-7.41072,-2.17074,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
5,1,3.62421,2.33011,-0.860116,-3.45606,-8.00521,-2.98018,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
5,2,-8.91763,5.23452,-12.164,-3.5977,-5.80715,-3.10895,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
5,3,-14.5087,5.10956,-21.7445,-6.13736,-5.93011,-4.39747,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
5,4,-14.487,1.75984,-23.6058,-4.42382,-5.17052,-4.6042,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
5,5,-15.7849,-4.97875,-20.2965,-3.75747,-5.4987,-2.44739,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
5,6,-18.5002,-8.26328,-21.511,-4.77751,-6.91876,-3.375,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
5,7,-20.817,-1.31909,-25.8181,-3.39705,-5.14347,-6.95376,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
5,8,-28.7183,6.07186,-25.3782,-2.75225,-4.21239,-5.79433,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
5,9,-29.6812,4.21713,-23.4713,-0.923274,-1.72257,-1.45341,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,
