subject,threshold,covered_area,leg,time,algorithm
9,10,1578624.1328793494,r,11.91012477874756,fit_sphere_algoritm
9,15,2164282.952465595,r,9.210718393325806,fit_sphere_algoritm
9,10,9628.886028982304,r,2.6317684650421143,nearest
9,10,1564258.816672712,r,7.570042848587036,fit_sphere_algoritm
9,15,2212393.930959912,r,6.998773813247681,fit_sphere_algoritm
9,15,14265.02191882624,r,3.1816625595092773,nearest
9,10,1300812.0695474532,l,8.758481740951538,fit_sphere_algoritm
9,15,1816016.282748053,l,16.923024654388428,fit_sphere_algoritm
9,10,7391.2328767301715,l,2.113022565841675,nearest
9,10,1305635.0866029672,l,6.823046445846558,fit_sphere_algoritm
9,15,1817651.3530451928,l,7.075454235076904,fit_sphere_algoritm
9,15,12476.212893267226,l,2.0117335319519043,nearest
10,10,926534.13747511,r,22.70915389060974,fit_sphere_algoritm
10,15,1342034.4935811786,r,21.876049995422363,fit_sphere_algoritm
10,10,5842.7193981142045,r,7.77130126953125,nearest
10,10,938259.4913555844,r,7.714073896408081,fit_sphere_algoritm
10,15,1336479.7414731958,r,8.22438669204712,fit_sphere_algoritm
10,15,10108.066135398883,r,2.4585134983062744,nearest
10,10,804200.7335465344,l,20.527288675308228,fit_sphere_algoritm
10,15,1171750.1997708387,l,20.89810061454773,fit_sphere_algoritm
10,10,4835.434848982565,l,6.943793296813965,nearest
10,10,797324.7127191811,l,7.194881916046143,fit_sphere_algoritm
10,15,1162739.6338267943,l,7.326637983322143,fit_sphere_algoritm
10,15,8707.56254581981,l,2.5202066898345947,nearest
13,10,9476.515078715283,r,4.68151068687439,nearest
13,10,1110685.855704346,r,6.172410249710083,fit_sphere_algoritm
13,15,1607784.8876332738,r,6.370298147201538,fit_sphere_algoritm
13,15,14851.78002558852,r,2.125596523284912,nearest
13,10,8998.707063965274,l,4.012514591217041,nearest
13,10,1260124.995129295,l,5.225926160812378,fit_sphere_algoritm
13,15,1780345.3563360504,l,5.371559143066406,fit_sphere_algoritm
13,15,14838.398657843922,l,1.7416024208068848,nearest
15,10,1775347.2912819465,r,11.441265344619753,fit_sphere_algoritm
15,15,2394699.825888596,r,11.407063007354736,fit_sphere_algoritm
15,10,13461.895064094044,r,3.62680721282959,nearest
15,10,1812344.011094032,r,4.056311845779419,fit_sphere_algoritm
15,15,2360813.644615159,r,4.363434791564941,fit_sphere_algoritm
15,15,19693.8277815335,r,1.4197676181793213,nearest
15,10,1790055.98709298,l,11.089905500411987,fit_sphere_algoritm
15,15,2280128.348065489,l,11.228354692459106,fit_sphere_algoritm
15,10,12577.775575315904,l,3.484216451644897,nearest
15,10,1720270.6360072184,l,3.980255126953125,fit_sphere_algoritm
15,15,2258092.600024051,l,4.036836624145508,fit_sphere_algoritm
15,15,19098.643411226614,l,1.3958964347839355,nearest
18,10,6374.905903927112,r,4.929634094238281,nearest
18,10,1197193.277097475,r,6.887010335922241,fit_sphere_algoritm
18,15,1858920.674727484,r,6.960117816925049,fit_sphere_algoritm
18,15,13378.653105160303,r,2.021653890609741,nearest
18,10,5644.994503118102,l,5.400608777999878,nearest
18,10,1529808.7253202717,l,7.102588176727295,fit_sphere_algoritm
18,15,2191531.7089359425,l,7.405812978744507,fit_sphere_algoritm
18,15,12592.071269298964,l,2.0398964881896973,nearest
19,10,7150.56541549639,r,2.343536138534546,nearest
19,15,11526.3334086314,r,1.8285627365112305,nearest
19,10,6523.718180487521,l,2.13358736038208,nearest
19,15,11004.553557060415,l,2.124719619750977,nearest
